Game,Plays,TD,Plays/TD,Win-Loss
Steelers,66,3,22,W
Rams,54,3,18,W
Giants,78,3,26,W
Cardinals,53,5,10.6,W
Cowboys,67,6,11.16666667,W
Browns,55,2,27.5,L
Vikings,53,2,26.5,L
Bengals,56,2,28,L
Jaguars,60,4,15,W
Buccaneers,59,3,19.66666667,W
Seahawks,55,4,13.75,W
Eagles,57,6,9.5,W
Ravens,68,2,34,L
Seahawks,53,4,13.25,W
Cardinals,54,6,9,W
Commanders,68,3,22.66666667,W
Rams,58,3,19.33333333,W
Packers,56,3,18.66666667,W
Lions,51,3,17,W
Chiefs,60,2,30,L
Bears,67,1,67,L
Seahawks,70,3,23.33333333,W
Seahawks,61,3,20.33333333,W
Broncos,52,1,52,L
Rams,49,3,16.33333333,W
Rams,52,4,13,W
Panthers,61,5,12.2,W
Falcons,57,2,28.5,L
Chiefs,72,2,36,L
Chargers,70,2,35,W
Cardinals,57,5,11.4,W
Cardinals,61,5,12.2,W
Saints,67,1,67,W